dataset,algorithm,k,docker_root,materialized_path,bytes_total,files_total,partitions_total,max_partition_bytes,avg_partition_bytes,rows_written,rows_skipped,materialization_time_sec,log_file
cordis_horizon_inputs,ptscotch,4,docker_cordis_all_k4_no_rcp,results/docker_cordis_all_k4_no_rcp/algorithm_outputs/ptscotch_cordis_horizon_inputs_k4/materialized_property_graph,685924204,40,4,171481051,171481051.00,1584408,0,35.632,results/logs/materialize_cordis_horizon_inputs_ptscotch_k4_2026-03-30_005849.log
cordis_horizon_inputs,ptscotch,6,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/ptscotch_cordis_horizon_inputs_k6/materialized_property_graph,1028886306,60,6,171481051,171481051.00,2376612,0,48.771,results/logs/materialize_cordis_horizon_inputs_ptscotch_k6_2026-03-30_005917.log
cordis_horizon_inputs,ptscotch,8,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/ptscotch_cordis_horizon_inputs_k8/materialized_property_graph,1371848408,80,8,171481051,171481051.00,3168816,0,64.245,results/logs/materialize_cordis_horizon_inputs_ptscotch_k8_2026-03-30_005927.log
cordis_horizon_inputs,rcp,2,docker_cordis_materialized_rcp,results/docker_cordis_materialized_rcp/algorithm_outputs/rcp_cordis_horizon_inputs_k2/materialized_property_graph,20221098,10,2,10114423,10110549.00,222406,5795,2.886,results/docker_cordis_materialized_rcp/logs/rcp_cordis_horizon_inputs_k2.log
cordis_horizon_inputs,rcp,4,docker_cordis_materialized_rcp,results/docker_cordis_materialized_rcp/algorithm_outputs/rcp_cordis_horizon_inputs_k4/materialized_property_graph,20221560,20,4,5084937,5055390.00,222406,5795,2.972,results/docker_cordis_materialized_rcp/logs/rcp_cordis_horizon_inputs_k4.log
cordis_horizon_inputs,rcp,6,docker_cordis_materialized_rcp,results/docker_cordis_materialized_rcp/algorithm_outputs/rcp_cordis_horizon_inputs_k6/materialized_property_graph,20222022,30,6,3381751,3370337.00,222406,5795,2.826,results/docker_cordis_materialized_rcp/logs/rcp_cordis_horizon_inputs_k6.log
cordis_horizon_inputs,rcp,8,docker_cordis_materialized_rcp,results/docker_cordis_materialized_rcp/algorithm_outputs/rcp_cordis_horizon_inputs_k8/materialized_property_graph,20222484,40,8,2537488,2527810.50,222406,5795,3.287,results/docker_cordis_materialized_rcp/logs/rcp_cordis_horizon_inputs_k8.log
cordis_horizon_inputs,scotch,2,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/scotch_cordis_horizon_inputs_k2/materialized_property_graph,342962102,20,2,171481051,171481051.00,792204,0,21.119,results/logs/materialize_cordis_horizon_inputs_scotch_k2_2026-03-30_010008.log
cordis_horizon_inputs,scotch,4,docker_cordis_all_k4_no_rcp,results/docker_cordis_all_k4_no_rcp/algorithm_outputs/scotch_cordis_horizon_inputs_k4/materialized_property_graph,685924204,40,4,171481051,171481051.00,1584408,0,36.143,results/logs/materialize_cordis_horizon_inputs_scotch_k4_2026-03-30_010031.log
cordis_horizon_inputs,scotch,6,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/scotch_cordis_horizon_inputs_k6/materialized_property_graph,1028886306,60,6,171481051,171481051.00,2376612,0,51.015,results/logs/materialize_cordis_horizon_inputs_scotch_k6_2026-03-30_010035.log
