timestamp_utc,dataset,algorithm,k,case_label,partition_file,node_index_file,mapping_total,mapping_matched,mapping_coverage,assigned_nodes,total_edges_db,assigned_edges,cross_partition_edges,cross_partition_edge_ratio,k_detected,min_block,max_block,partition_balance,query_files,query_exec_time_sec,query_avg_ms,query_p50_ms,query_p95_ms,query_std_ms,dataset_load_time_sec,dataset_loaded_nodes,dataset_loaded_rels
2026-04-17T11:36:59.068917+00:00,ldbc_inputs_1_4,ptscotch,2,ptscotch_ldbc_inputs_1_4_k2,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/ptscotch_ldbc_inputs_1_4_k2/scotch_partition_k2.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/ptscotch_ldbc_inputs_1_4_k2/node_index.tsv,3191616,23210,0.007272,14678,78197,78197,38148,0.487845,2,5244,9434,1.285461,9,1.972439,214.91495,147.250083,147.250083,226.187936,707.102901,14678,78197
2026-03-25T20:11:47.261394+00:00,ldbc_inputs_1_4,rcp,2,rcp_ldbc_inputs_1_4_k2,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/rcp_ldbc_inputs_1_4_k2/rcp_partition_k2.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/rcp_ldbc_inputs_1_4_k2/node_index.tsv,3191616,16121,0.005051,9837,10000,10000,5427,0.5427,2,4693,5144,1.045847,9,0.075637,4.998562,5.113014,5.113014,0.93825,149.022001,9837,10000
2026-04-17T11:38:56.135719+00:00,ldbc_inputs_1_4,scotch,2,scotch_ldbc_inputs_1_4_k2,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/scotch_ldbc_inputs_1_4_k2/scotch_partition_k2.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/scotch_ldbc_inputs_1_4_k2/node_index.tsv,3191616,23210,0.007272,14678,78197,78197,34238,0.437843,2,6519,8159,1.111732,9,0.342533,34.429191,6.221462,6.221462,80.652456,707.102901,14678,78197
2026-03-03T14:48:50.316079+00:00,ldbc_inputs_1_4,hash,4,hash_ldbc_inputs_1_4_k4,/mnt/c/Users/victo/ptuxiaki/project/spark/results/hash_ldbc_inputs_1_4_k4/hash_partition_k4.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/hash_ldbc_inputs_1_4_k4/node_index.tsv,3181724,20108,0.00632,14678,78197,78197,58820,0.752203,4,3657,3683,1.003679,9,0.477891,39.380745,5.747748,5.747748,95.614327,807.468531,14678,78197
2026-03-03T14:50:46.576095+00:00,ldbc_inputs_1_4,kahip_fast,4,kahip_fast_ldbc_inputs_1_4_k4,/mnt/c/Users/victo/ptuxiaki/project/spark/results/kahip_fast_ldbc_inputs_1_4_k4/kahip_fast_partition_k4.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/kahip_fast_ldbc_inputs_1_4_k4/node_index.tsv,3181724,20108,0.00632,14678,78197,78197,48306,0.617747,4,2474,5657,1.541627,9,0.438148,36.758102,5.572619,5.572619,90.369925,807.468531,14678,78197
2026-03-03T14:52:40.546380+00:00,ldbc_inputs_1_4,metis,4,metis_ldbc_inputs_1_4_k4,/mnt/c/Users/victo/ptuxiaki/project/spark/results/metis_ldbc_inputs_1_4_k4/metis_partition_k4.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/metis_ldbc_inputs_1_4_k4/node_index.tsv,3181724,20108,0.00632,14678,78197,78197,52659,0.673415,4,2664,5369,1.463142,9,0.453948,37.705017,5.649632,5.649632,92.251827,807.468531,14678,78197
2026-03-25T20:13:13.704360+00:00,ldbc_inputs_1_4,parmetis,4,parmetis_ldbc_inputs_1_4_k4,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/parmetis_ldbc_inputs_1_4_k4/parmetis_partition_k4.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/parmetis_ldbc_inputs_1_4_k4/node_index.tsv,3191616,16121,0.005051,9837,10000,10000,5685,0.5685,4,1687,3526,1.43377,9,0.106515,6.92303,5.093328,5.093328,2.93107,149.022001,9837,10000
2026-04-17T11:40:56.360754+00:00,ldbc_inputs_1_4,ptscotch,4,ptscotch_ldbc_inputs_1_4_k4,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/ptscotch_ldbc_inputs_1_4_k4/scotch_partition_k4.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/ptscotch_ldbc_inputs_1_4_k4/node_index.tsv,3191616,23210,0.007272,14678,78197,78197,50016,0.639615,4,2011,6520,1.776809,9,0.392616,40.029935,5.782841,5.782841,97.27169,707.102901,14678,78197
2026-03-25T20:14:36.829686+00:00,ldbc_inputs_1_4,rcp,4,rcp_ldbc_inputs_1_4_k4,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/rcp_ldbc_inputs_1_4_k4/rcp_partition_k4.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/rcp_ldbc_inputs_1_4_k4/node_index.tsv,3191616,16121,0.005051,9837,10000,10000,5618,0.5618,4,7,5021,2.041679,9,0.195454,5.302926,5.308641,5.308641,0.969771,149.022001,9837,10000
2026-04-17T11:42:53.854640+00:00,ldbc_inputs_1_4,scotch,4,scotch_ldbc_inputs_1_4_k4,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/scotch_ldbc_inputs_1_4_k4/scotch_partition_k4.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_ldbc_clean/algorithm_outputs/scotch_ldbc_inputs_1_4_k4/node_index.tsv,3191616,23210,0.007272,14678,78197,78197,49199,0.629167,4,1518,6886,1.87655,9,0.33761,33.983392,6.019555,6.019555,80.356649,707.102901,14678,78197
