:START_ID(Project),:END_ID(Publication)
101039651,101039651_93372_PUBLIHORIZON
101039651,101039651_93373_PUBLIHORIZON
101039651,101039651_93374_PUBLIHORIZON
101039651,101039651_93392_PUBLIHORIZON
101039651,101039651_93393_PUBLIHORIZON
101039651,101039651_93394_PUBLIHORIZON
101039651,101039651_93395_PUBLIHORIZON
101039651,101039651_93396_PUBLIHORIZON
101039651,101039651_93397_PUBLIHORIZON
101039651,101039651_93398_PUBLIHORIZON
101039651,101039651_93399_PUBLIHORIZON
101039651,101039651_93400_PUBLIHORIZON
101039651,101039651_93402_PUBLIHORIZON
101039651,101039651_93403_PUBLIHORIZON
101039651,101039651_93404_PUBLIHORIZON
101039651,101039651_93405_PUBLIHORIZON
101039651,101039651_93406_PUBLIHORIZON
101039651,101039651_93412_PUBLIHORIZON
101039651,101039651_93413_PUBLIHORIZON
101039651,101039651_93414_PUBLIHORIZON
101039651,101039651_93415_PUBLIHORIZON
101039651,101039651_93416_PUBLIHORIZON
101039651,101039651_93418_PUBLIHORIZON
101039651,101039651_93419_PUBLIHORIZON
101039651,101039651_93420_PUBLIHORIZON
101039651,101039651_93421_PUBLIHORIZON
101039651,101039651_93422_PUBLIHORIZON
101039651,101039651_93423_PUBLIHORIZON
101039655,101039655_153863_PUBLIHORIZON
101039655,101039655_153864_PUBLIHORIZON
101039655,101039655_153865_PUBLIHORIZON
101039655,101039655_79221_PUBLIHORIZON
101039655,101039655_79222_PUBLIHORIZON
101039655,101039655_79223_PUBLIHORIZON
101039655,101039655_79224_PUBLIHORIZON
101039657,101039657_143232_PUBLIHORIZON
101039657,101039657_97769_PUBLIHORIZON
101039657,101039657_97770_PUBLIHORIZON
101039657,101039657_97771_PUBLIHORIZON
101039672,101039672_40034_PUBLIHORIZON
101039672,101039672_40035_PUBLIHORIZON
101039672,101039672_40036_PUBLIHORIZON
101039672,101039672_40037_PUBLIHORIZON
101039672,101039672_40383_PUBLIHORIZON
101039672,101039672_40384_PUBLIHORIZON
101039672,101039672_40385_PUBLIHORIZON
101039672,101039672_40386_PUBLIHORIZON
101039672,101039672_4187_PUBLIHORIZON
101039672,101039672_4188_PUBLIHORIZON
101039672,101039672_4189_PUBLIHORIZON
101039672,101039672_4190_PUBLIHORIZON
101039672,101039672_4191_PUBLIHORIZON
101039672,101039672_4192_PUBLIHORIZON
101039672,101039672_4193_PUBLIHORIZON
101039672,101039672_4194_PUBLIHORIZON
101039676,101039676_106365_PUBLIHORIZON
101039676,101039676_106366_PUBLIHORIZON
101039676,101039676_106367_PUBLIHORIZON
101039676,101039676_106368_PUBLIHORIZON
101039676,101039676_106369_PUBLIHORIZON
101039676,101039676_106370_PUBLIHORIZON
101039676,101039676_106371_PUBLIHORIZON
101039676,101039676_106372_PUBLIHORIZON
101039676,101039676_106374_PUBLIHORIZON
101039676,101039676_106375_PUBLIHORIZON
101039676,101039676_106376_PUBLIHORIZON
101039676,101039676_106400_PUBLIHORIZON
101039676,101039676_106402_PUBLIHORIZON
101039676,101039676_106405_PUBLIHORIZON
101039676,101039676_106406_PUBLIHORIZON
101039676,101039676_106407_PUBLIHORIZON
101039683,101039683_105362_PUBLIHORIZON
101039683,101039683_105363_PUBLIHORIZON
101039683,101039683_12161_PUBLIHORIZON
101039683,101039683_199089_PUBLIHORIZON
101039683,101039683_199108_PUBLIHORIZON
101039683,101039683_200625_PUBLIHORIZON
101039683,101039683_307060_PUBLIHORIZON
101039683,101039683_321511_PUBLIHORIZON
101039683,101039683_3441_PUBLIHORIZON
101039692,101039692_85036_PUBLIHORIZON
101039692,101039692_85038_PUBLIHORIZON
101039692,101039692_85039_PUBLIHORIZON
101039692,101039692_85041_PUBLIHORIZON
101039692,101039692_85042_PUBLIHORIZON
101039692,101039692_85043_PUBLIHORIZON
101039692,101039692_85045_PUBLIHORIZON
101039692,101039692_85048_PUBLIHORIZON
101039692,101039692_85053_PUBLIHORIZON
101039692,101039692_85057_PUBLIHORIZON
101039692,101039692_85058_PUBLIHORIZON
101039692,101039692_85060_PUBLIHORIZON
101039692,101039692_85062_PUBLIHORIZON
101039706,101039706_119818_PUBLIHORIZON
101039711,101039711_137583_PUBLIHORIZON
101039711,101039711_166170_PUBLIHORIZON
101039711,101039711_58161_PUBLIHORIZON
101039711,101039711_58162_PUBLIHORIZON
101039712,101039712_199872_PUBLIHORIZON
101039712,101039712_199873_PUBLIHORIZON
101039712,101039712_199879_PUBLIHORIZON
101039712,101039712_199880_PUBLIHORIZON
101039712,101039712_199881_PUBLIHORIZON
101039712,101039712_199882_PUBLIHORIZON
101039712,101039712_199937_PUBLIHORIZON
101039712,101039712_199938_PUBLIHORIZON
101039712,101039712_74157_PUBLIHORIZON
101039712,101039712_74159_PUBLIHORIZON
101039712,101039712_74161_PUBLIHORIZON
101039712,101039712_74163_PUBLIHORIZON
101039712,101039712_74164_PUBLIHORIZON
101039712,101039712_74165_PUBLIHORIZON
101039746,101039746_1163_PUBLIHORIZON
101039746,101039746_143581_PUBLIHORIZON
101039746,101039746_55986_PUBLIHORIZON
101039748,101039748_120588_PUBLIHORIZON
101039748,101039748_124206_PUBLIHORIZON
101039748,101039748_293939_PUBLIHORIZON
101039748,101039748_293963_PUBLIHORIZON
101039748,101039748_293964_PUBLIHORIZON
101039748,101039748_293965_PUBLIHORIZON
101039748,101039748_39241_PUBLIHORIZON
101039748,101039748_39242_PUBLIHORIZON
101039748,101039748_39243_PUBLIHORIZON
101039748,101039748_39244_PUBLIHORIZON
101039748,101039748_39245_PUBLIHORIZON
101039748,101039748_39246_PUBLIHORIZON
101039748,101039748_39247_PUBLIHORIZON
101039748,101039748_39249_PUBLIHORIZON
101039748,101039748_39250_PUBLIHORIZON
101039754,101039754_110022_PUBLIHORIZON
101039754,101039754_110024_PUBLIHORIZON
101039754,101039754_110091_PUBLIHORIZON
101039756,101039756_118822_PUBLIHORIZON
101039756,101039756_118823_PUBLIHORIZON
101039756,101039756_118824_PUBLIHORIZON
101039756,101039756_118825_PUBLIHORIZON
101039756,101039756_118826_PUBLIHORIZON
101039756,101039756_118828_PUBLIHORIZON
101039758,101039758_123631_PUBLIHORIZON
101039758,101039758_123632_PUBLIHORIZON
101039758,101039758_123633_PUBLIHORIZON
101039758,101039758_123634_PUBLIHORIZON
101039758,101039758_123805_PUBLIHORIZON
101039758,101039758_133521_PUBLIHORIZON
101039758,101039758_133522_PUBLIHORIZON
101039760,101039760_104135_PUBLIHORIZON
101039760,101039760_104136_PUBLIHORIZON
101039760,101039760_104159_PUBLIHORIZON
101039760,101039760_104160_PUBLIHORIZON
101039760,101039760_104175_PUBLIHORIZON
101039760,101039760_104180_PUBLIHORIZON
101039760,101039760_110990_PUBLIHORIZON
101039760,101039760_208360_PUBLIHORIZON
101039760,101039760_208362_PUBLIHORIZON
101039760,101039760_208363_PUBLIHORIZON
101039760,101039760_208364_PUBLIHORIZON
