deliverable_id:ID(Deliverable),title,deliverableType
101043543_1_DELIVHORIZON,Data Management plan,Data Management Plan
101043572_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043587_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101043588_1_DELIVHORIZON,DMP,Data Management Plan
101043589_1_DELIVHORIZON,Data Management Plan,
101043602_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043637_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043671_2_DELIVHORIZON,Data Management Plan,Data Management Plan
101043686_1_DELIVHORIZON,Research Data Management Plan,Data Management Plan
101043738_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043740_2_DELIVHORIZON,Data Management Plan,Data Management Plan
101043753_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043815_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101043844_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043848_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101043959_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043975_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101043998_1_DELIVHORIZON,Data Management Plan,
101044015_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101044069_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101044073_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044105_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044114_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044127_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044152_1_DELIVHORIZON,DMP,Data Management Plan
101044165_1_DELIVHORIZON,Data management plan,Data Management Plan
101044202_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044225_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044226_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044249_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044300_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044437_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044443_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044461_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044464_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101044468_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044469_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044516_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044546_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044579_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044612_1_DELIVHORIZON,DMP,
101044626_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101044629_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044649_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044686_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044740_1_DELIVHORIZON,Data Management Plan,Data Management Plan
